fecha,sku,producto,unidades_vendidas,nota
2014-01-20,SKU-007,Atun_Lata_170g,1963.8,outlier_alto
2014-01-20,SKU-008,Frijol_500g,389.6,ok
2014-01-20,SKU-009,Sal_1kg,323.1,ok
2014-01-20,SKU-010,Cafe_Molido_250g,654.6,ok
2014-01-20,SKU-011,Jabon_Barra,505.5,ok
2014-01-20,SKU-012,Shampoo_400ml,480.8,ok
2014-01-20,SKU-013,Papel_Higienico_4x,996.0,ok
2014-01-20,SKU-014,Detergente_1kg,633.1,ok
2014-01-20,SKU-015,Mayonesa_445g,346.8,ok
2014-01-20,SKU-016,Ketchup_397g,392.4,ok
2014-01-20,SKU-017,Galletas_200g,907.6,ok
2014-01-20,SKU-018,Jugo_Naranja_1L,544.9,ok
2014-01-20,SKU-019,Agua_500ml_x24,1440.2,ok
2014-01-20,SKU-020,Cereal_Corn_500g,502.4,ok
2014-01-27,SKU-001,Arroz_500g,812.6,ok
2014-01-27,SKU-002,Aceite_1L,600.9,ok
2014-01-27,SKU-003,Azucar_1kg,741.3,ok
2014-01-27,SKU-004,Leche_UHT_1L,,missing_bloque
2014-01-27,SKU-005,Harina_1kg,456.2,ok
2014-01-27,SKU-006,Pasta_Spaghetti,591.4,ok
2014-01-27,SKU-007,Atun_Lata_170g,440.1,ok
2014-01-27,SKU-008,Frijol_500g,467.5,ok
2014-01-27,SKU-009,Sal_1kg,248.5,ok
2014-01-27,SKU-010,Cafe_Molido_250g,711.9,ok
2014-01-27,SKU-011,Jabon_Barra,2426.3,outlier_alto
2014-01-27,SKU-012,Shampoo_400ml,501.7,ok
2014-01-27,SKU-013,Papel_Higienico_4x,874.4,ok
2014-01-27,SKU-014,Detergente_1kg,671.2,ok
2014-01-27,SKU-015,Mayonesa_445g,361.3,ok
2014-01-27,SKU-016,Ketchup_397g,346.6,ok
2014-01-27,SKU-017,Galletas_200g,932.4,ok
2014-01-27,SKU-018,Jugo_Naranja_1L,625.5,ok
2014-01-27,SKU-019,Agua_500ml_x24,1536.7,ok
2014-01-27,SKU-020,Cereal_Corn_500g,423.5,ok
2014-02-03,SKU-001,Arroz_500g,893.1,ok
2014-02-03,SKU-002,Aceite_1L,721.1,ok
2014-02-03,SKU-003,Azucar_1kg,839.8,ok
2014-02-03,SKU-004,Leche_UHT_1L,1267.8,ok
2014-02-03,SKU-005,Harina_1kg,545.1,ok
2014-02-03,SKU-006,Pasta_Spaghetti,593.5,ok
2014-02-03,SKU-007,Atun_Lata_170g,479.4,ok
2014-02-03,SKU-008,Frijol_500g,493.8,ok
2014-02-03,SKU-009,Sal_1kg,304.9,ok
2014-02-03,SKU-010,Cafe_Molido_250g,703.8,ok
2014-02-03,SKU-011,Jabon_Barra,638.4,ok
2014-02-03,SKU-012,Shampoo_400ml,,missing
2014-02-03,SKU-013,Papel_Higienico_4x,1092.6,ok
2014-02-03,SKU-014,Detergente_1kg,628.2,ok
2014-02-03,SKU-015,Mayonesa_445g,406.9,ok
2014-02-03,SKU-016,Ketchup_397g,362.0,ok
2014-02-03,SKU-017,Galletas_200g,936.6,ok
2014-02-03,SKU-018,Jugo_Naranja_1L,,missing
2014-02-03,SKU-019,Agua_500ml_x24,1534.9,ok
2014-02-03,SKU-020,Cereal_Corn_500g,,missing
2014-02-10,SKU-001,Arroz_500g,972.0,ok
2014-02-10,SKU-002,Aceite_1L,732.7,ok
2014-02-10,SKU-003,Azucar_1kg,877.0,ok
2014-02-10,SKU-004,Leche_UHT_1L,1355.8,ok
2014-02-10,SKU-005,Harina_1kg,84.6,outlier_bajo
2014-02-10,SKU-006,Pasta_Spaghetti,713.4,ok
2014-02-10,SKU-007,Atun_Lata_170g,447.1,ok
2014-02-10,SKU-008,Frijol_500g,487.7,ok
2014-02-10,SKU-009,Sal_1kg,288.6,ok
2014-02-10,SKU-010,Cafe_Molido_250g,,missing
2014-02-10,SKU-011,Jabon_Barra,660.8,ok
2014-02-10,SKU-012,Shampoo_400ml,,missing_bloque
2014-02-10,SKU-013,Papel_Higienico_4x,935.1,ok
2014-02-10,SKU-014,Detergente_1kg,776.7,ok
2014-02-10,SKU-015,Mayonesa_445g,418.1,ok
2014-02-10,SKU-016,Ketchup_397g,373.2,ok
2014-02-10,SKU-017,Galletas_200g,943.1,ok
2014-02-10,SKU-018,Jugo_Naranja_1L,627.3,ok
2014-02-10,SKU-019,Agua_500ml_x24,,missing
2014-02-10,SKU-020,Cereal_Corn_500g,484.1,ok
2014-02-17,SKU-001,Arroz_500g,1069.3,ok
2014-02-17,SKU-002,Aceite_1L,646.5,ok
2014-02-17,SKU-003,Azucar_1kg,798.6,ok
2014-02-17,SKU-004,Leche_UHT_1L,,missing_bloque
2014-02-17,SKU-005,Harina_1kg,494.0,ok
2014-02-17,SKU-006,Pasta_Spaghetti,663.1,ok
2014-02-17,SKU-007,Atun_Lata_170g,414.2,ok
2014-02-17,SKU-008,Frijol_500g,486.5,ok
2014-02-17,SKU-009,Sal_1kg,286.5,ok
2014-02-17,SKU-010,Cafe_Molido_250g,772.6,ok
2014-02-17,SKU-011,Jabon_Barra,625.4,ok
2014-02-17,SKU-012,Shampoo_400ml,,missing_bloque
2014-02-17,SKU-013,Papel_Higienico_4x,1033.8,ok
2014-02-17,SKU-014,Detergente_1kg,677.9,ok
2014-02-17,SKU-015,Mayonesa_445g,444.7,ok
2014-02-17,SKU-016,Ketchup_397g,348.3,ok
2014-02-17,SKU-017,Galletas_200g,901.4,ok
2014-02-17,SKU-018,Jugo_Naranja_1L,718.5,ok
2014-02-17,SKU-019,Agua_500ml_x24,,missing
2014-02-17,SKU-020,Cereal_Corn_500g,527.9,ok
2014-02-24,SKU-001,Arroz_500g,956.8,ok
2014-02-24,SKU-002,Aceite_1L,660.5,ok
2014-02-24,SKU-003,Azucar_1kg,792.9,ok
2014-02-24,SKU-004,Leche_UHT_1L,,missing_bloque
2014-02-24,SKU-005,Harina_1kg,513.5,ok
2014-02-24,SKU-006,Pasta_Spaghetti,651.5,ok
2014-02-24,SKU-007,Atun_Lata_170g,,missing
2014-02-24,SKU-008,Frijol_500g,487.4,ok
2014-02-24,SKU-009,Sal_1kg,318.1,ok
2014-02-24,SKU-010,Cafe_Molido_250g,721.4,ok
2014-02-24,SKU-011,Jabon_Barra,594.0,ok
2014-02-24,SKU-012,Shampoo_400ml,,missing_bloque
2014-02-24,SKU-013,Papel_Higienico_4x,1073.2,ok
2014-02-24,SKU-014,Detergente_1kg,636.1,ok
2014-02-24,SKU-015,Mayonesa_445g,448.2,ok
2014-02-24,SKU-016,Ketchup_397g,355.8,ok
2014-02-24,SKU-017,Galletas_200g,,missing_bloque
2014-02-24,SKU-018,Jugo_Naranja_1L,678.4,ok
2014-02-24,SKU-019,Agua_500ml_x24,1756.5,ok
2014-02-24,SKU-020,Cereal_Corn_500g,486.9,ok
2014-03-03,SKU-001,Arroz_500g,860.7,ok
2014-03-03,SKU-002,Aceite_1L,701.0,ok
2014-03-03,SKU-003,Azucar_1kg,852.0,ok
2014-03-03,SKU-004,Leche_UHT_1L,,missing_bloque
2014-03-03,SKU-005,Harina_1kg,604.5,ok
2014-03-03,SKU-006,Pasta_Spaghetti,713.8,ok
2014-03-03,SKU-007,Atun_Lata_170g,372.9,ok
2014-03-03,SKU-008,Frijol_500g,489.8,ok
2014-03-03,SKU-009,Sal_1kg,324.8,ok
2014-03-03,SKU-010,Cafe_Molido_250g,782.8,ok
2014-03-03,SKU-011,Jabon_Barra,610.3,ok
2014-03-03,SKU-012,Shampoo_400ml,,missing_bloque
2014-03-03,SKU-013,Papel_Higienico_4x,183.9,outlier_bajo
2014-03-03,SKU-014,Detergente_1kg,647.5,ok
2014-03-03,SKU-015,Mayonesa_445g,428.2,ok
2014-03-03,SKU-016,Ketchup_397g,14.4,outlier_bajo
2014-03-03,SKU-017,Galletas_200g,,missing_bloque
2014-03-03,SKU-018,Jugo_Naranja_1L,783.1,ok
2014-03-03,SKU-019,Agua_500ml_x24,,missing
2014-03-03,SKU-020,Cereal_Corn_500g,,missing
2014-03-10,SKU-001,Arroz_500g,1010.5,ok
2014-03-10,SKU-002,Aceite_1L,823.2,ok
2014-03-10,SKU-003,Azucar_1kg,818.2,ok
2014-03-10,SKU-004,Leche_UHT_1L,,missing_bloque
2014-03-10,SKU-005,Harina_1kg,574.8,ok
2014-03-10,SKU-006,Pasta_Spaghetti,685.7,ok
2014-03-10,SKU-007,Atun_Lata_170g,338.5,ok
2014-03-10,SKU-008,Frijol_500g,435.5,ok
2014-03-10,SKU-009,Sal_1kg,324.3,ok
2014-03-10,SKU-010,Cafe_Molido_250g,,missing
2014-03-10,SKU-011,Jabon_Barra,665.7,ok
2014-03-10,SKU-012,Shampoo_400ml,,missing_bloque
2014-03-10,SKU-013,Papel_Higienico_4x,1038.4,ok
2014-03-10,SKU-014,Detergente_1kg,731.5,ok
2014-03-10,SKU-015,Mayonesa_445g,424.4,ok
2014-03-10,SKU-016,Ketchup_397g,391.6,ok
2014-03-10,SKU-017,Galletas_200g,,missing_bloque
2014-03-10,SKU-018,Jugo_Naranja_1L,692.3,ok
2014-03-10,SKU-019,Agua_500ml_x24,1931.1,ok
2014-03-10,SKU-020,Cereal_Corn_500g,521.8,ok
2014-03-17,SKU-001,Arroz_500g,,missing_bloque
2014-03-17,SKU-002,Aceite_1L,1597.2,outlier_alto
2014-03-17,SKU-003,Azucar_1kg,859.7,ok
2014-03-17,SKU-004,Leche_UHT_1L,,missing_bloque
2014-03-17,SKU-005,Harina_1kg,518.0,ok
2014-03-17,SKU-006,Pasta_Spaghetti,633.3,ok
2014-03-17,SKU-007,Atun_Lata_170g,771.4,outlier_alto
2014-03-17,SKU-008,Frijol_500g,457.2,ok
2014-03-17,SKU-009,Sal_1kg,300.4,ok
2014-03-17,SKU-010,Cafe_Molido_250g,775.3,ok
2014-03-17,SKU-011,Jabon_Barra,,missing
2014-03-17,SKU-012,Shampoo_400ml,,missing_bloque
2014-03-17,SKU-013,Papel_Higienico_4x,1114.4,ok
2014-03-17,SKU-014,Detergente_1kg,698.9,ok
2014-03-17,SKU-015,Mayonesa_445g,405.4,ok
2014-03-17,SKU-016,Ketchup_397g,375.2,ok
2014-03-17,SKU-017,Galletas_200g,,missing_bloque
2014-03-17,SKU-018,Jugo_Naranja_1L,742.9,ok
2014-03-17,SKU-019,Agua_500ml_x24,1810.9,ok
2014-03-17,SKU-020,Cereal_Corn_500g,561.2,ok
2014-03-24,SKU-001,Arroz_500g,,missing_bloque
2014-03-24,SKU-002,Aceite_1L,642.8,ok
2014-03-24,SKU-003,Azucar_1kg,833.5,ok
2014-03-24,SKU-004,Leche_UHT_1L,,missing_bloque
2014-03-24,SKU-005,Harina_1kg,549.4,ok
2014-03-24,SKU-006,Pasta_Spaghetti,570.5,ok
2014-03-24,SKU-007,Atun_Lata_170g,340.5,ok
2014-03-24,SKU-008,Frijol_500g,477.1,ok
2014-03-24,SKU-009,Sal_1kg,349.4,ok
2014-03-24,SKU-010,Cafe_Molido_250g,805.7,ok
2014-03-24,SKU-011,Jabon_Barra,-7.1,negativo
2014-03-24,SKU-012,Shampoo_400ml,,missing_bloque
2014-03-24,SKU-013,Papel_Higienico_4x,1061.6,ok
2014-03-24,SKU-014,Detergente_1kg,713.9,ok
2014-03-24,SKU-015,Mayonesa_445g,356.6,ok
2014-03-24,SKU-016,Ketchup_397g,316.4,ok
2014-03-24,SKU-017,Galletas_200g,,missing_bloque
2014-03-24,SKU-018,Jugo_Naranja_1L,551.1,ok
2014-03-24,SKU-019,Agua_500ml_x24,1723.0,ok
2014-03-24,SKU-020,Cereal_Corn_500g,487.8,ok
2014-03-31,SKU-001,Arroz_500g,,missing_bloque
2014-03-31,SKU-002,Aceite_1L,633.5,ok
2014-03-31,SKU-003,Azucar_1kg,877.3,ok
2014-03-31,SKU-004,Leche_UHT_1L,1338.3,ok
2014-03-31,SKU-005,Harina_1kg,580.4,ok
2014-03-31,SKU-006,Pasta_Spaghetti,571.4,ok
2014-03-31,SKU-007,Atun_Lata_170g,338.8,ok
2014-03-31,SKU-008,Frijol_500g,446.0,ok
2014-03-31,SKU-009,Sal_1kg,298.0,ok
2014-03-31,SKU-010,Cafe_Molido_250g,797.9,ok
2014-03-31,SKU-011,Jabon_Barra,524.5,ok
2014-03-31,SKU-012,Shampoo_400ml,497.1,ok
2014-03-31,SKU-013,Papel_Higienico_4x,1157.1,ok
2014-03-31,SKU-014,Detergente_1kg,681.3,ok
2014-03-31,SKU-015,Mayonesa_445g,926.3,outlier_alto
2014-03-31,SKU-016,Ketchup_397g,320.0,ok
2014-03-31,SKU-017,Galletas_200g,,missing_bloque
2014-03-31,SKU-018,Jugo_Naranja_1L,690.5,ok
2014-03-31,SKU-019,Agua_500ml_x24,1716.7,ok
2014-03-31,SKU-020,Cereal_Corn_500g,556.2,ok
2014-04-07,SKU-001,Arroz_500g,,missing_bloque
2014-04-07,SKU-002,Aceite_1L,649.5,ok
2014-04-07,SKU-003,Azucar_1kg,861.9,ok
2014-04-07,SKU-004,Leche_UHT_1L,1196.4,ok
2014-04-07,SKU-005,Harina_1kg,575.3,ok
2014-04-07,SKU-006,Pasta_Spaghetti,523.4,ok
2014-04-07,SKU-007,Atun_Lata_170g,401.4,ok
2014-04-07,SKU-008,Frijol_500g,2630.0,outlier_alto
2014-04-07,SKU-009,Sal_1kg,,missing
2014-04-07,SKU-010,Cafe_Molido_250g,780.1,ok
2014-04-07,SKU-011,Jabon_Barra,593.2,ok
2014-04-07,SKU-012,Shampoo_400ml,449.4,ok
2014-04-07,SKU-013,Papel_Higienico_4x,1207.4,ok
2014-04-07,SKU-014,Detergente_1kg,705.3,ok
2014-04-07,SKU-015,Mayonesa_445g,348.6,ok
2014-04-07,SKU-016,Ketchup_397g,-6.3,negativo
2014-04-07,SKU-017,Galletas_200g,,missing_bloque
2014-04-07,SKU-018,Jugo_Naranja_1L,838.1,ok
2014-04-07,SKU-019,Agua_500ml_x24,9407.2,outlier_alto
2014-04-07,SKU-020,Cereal_Corn_500g,561.0,ok
2014-04-14,SKU-001,Arroz_500g,1011.1,ok
2014-04-14,SKU-002,Aceite_1L,562.4,ok
2014-04-14,SKU-003,Azucar_1kg,818.7,ok
2014-04-14,SKU-004,Leche_UHT_1L,3357.1,outlier_alto
2014-04-14,SKU-005,Harina_1kg,566.4,ok
2014-04-14,SKU-006,Pasta_Spaghetti,588.8,ok
2014-04-14,SKU-007,Atun_Lata_170g,409.9,ok
2014-04-14,SKU-008,Frijol_500g,437.1,ok
2014-04-14,SKU-009,Sal_1kg,294.1,ok
2014-04-14,SKU-010,Cafe_Molido_250g,771.6,ok
2014-04-14,SKU-011,Jabon_Barra,531.6,ok
2014-04-14,SKU-012,Shampoo_400ml,466.5,ok
2014-04-14,SKU-013,Papel_Higienico_4x,2358.3,duplicado
2014-04-14,SKU-014,Detergente_1kg,768.2,ok
2014-04-14,SKU-015,Mayonesa_445g,330.8,ok
2014-04-14,SKU-016,Ketchup_397g,288.0,ok
2014-04-14,SKU-017,Galletas_200g,,missing_bloque
2014-04-14,SKU-018,Jugo_Naranja_1L,717.8,ok
2014-04-14,SKU-019,Agua_500ml_x24,1892.3,ok
2014-04-14,SKU-020,Cereal_Corn_500g,483.4,ok
2014-04-21,SKU-001,Arroz_500g,1022.2,ok
2014-04-21,SKU-002,Aceite_1L,608.1,ok
2014-04-21,SKU-003,Azucar_1kg,874.2,ok
2014-04-21,SKU-004,Leche_UHT_1L,1273.4,ok
2014-04-21,SKU-005,Harina_1kg,1166.1,outlier_alto
2014-04-21,SKU-006,Pasta_Spaghetti,539.9,ok
2014-04-21,SKU-007,Atun_Lata_170g,-13.4,negativo
2014-04-21,SKU-008,Frijol_500g,480.8,ok
2014-04-21,SKU-009,Sal_1kg,302.0,ok
2014-04-21,SKU-010,Cafe_Molido_250g,728.1,ok
2014-04-21,SKU-011,Jabon_Barra,474.0,ok
2014-04-21,SKU-012,Shampoo_400ml,1421.5,outlier_alto
2014-04-21,SKU-013,Papel_Higienico_4x,967.2,ok
2014-04-21,SKU-014,Detergente_1kg,672.3,ok
2014-04-21,SKU-015,Mayonesa_445g,345.9,ok
2014-04-21,SKU-016,Ketchup_397g,294.0,ok
2014-04-21,SKU-017,Galletas_200g,862.1,ok
2014-04-21,SKU-018,Jugo_Naranja_1L,,missing
2014-04-21,SKU-019,Agua_500ml_x24,1744.6,ok
2014-04-21,SKU-020,Cereal_Corn_500g,549.2,ok
2014-04-28,SKU-001,Arroz_500g,931.0,ok
2014-04-28,SKU-002,Aceite_1L,557.0,ok
2014-04-28,SKU-003,Azucar_1kg,780.8,ok
2014-04-28,SKU-004,Leche_UHT_1L,,missing
2014-04-28,SKU-005,Harina_1kg,619.2,ok
2014-04-28,SKU-006,Pasta_Spaghetti,485.6,ok
2014-04-28,SKU-007,Atun_Lata_170g,451.2,ok
2014-04-28,SKU-008,Frijol_500g,505.7,ok
2014-04-28,SKU-009,Sal_1kg,53.0,outlier_bajo
2014-04-28,SKU-010,Cafe_Molido_250g,896.6,ok
2014-04-28,SKU-011,Jabon_Barra,516.7,ok
2014-04-28,SKU-012,Shampoo_400ml,457.8,ok
2014-04-28,SKU-013,Papel_Higienico_4x,1118.1,ok
2014-04-28,SKU-014,Detergente_1kg,661.1,ok
2014-04-28,SKU-015,Mayonesa_445g,64.0,outlier_bajo
2014-04-28,SKU-016,Ketchup_397g,289.2,ok
2014-04-28,SKU-017,Galletas_200g,938.7,ok
2014-04-28,SKU-018,Jugo_Naranja_1L,708.3,ok
2014-04-28,SKU-019,Agua_500ml_x24,1664.1,ok
2014-04-28,SKU-020,Cereal_Corn_500g,527.0,ok
2014-05-05,SKU-001,Arroz_500g,,missing
2014-05-05,SKU-002,Aceite_1L,512.6,ok
2014-05-05,SKU-003,Azucar_1kg,833.9,ok
2014-05-05,SKU-004,Leche_UHT_1L,1385.9,ok
2014-05-05,SKU-005,Harina_1kg,,missing
2014-05-05,SKU-006,Pasta_Spaghetti,611.7,ok
2014-05-05,SKU-007,Atun_Lata_170g,464.5,ok
2014-05-05,SKU-008,Frijol_500g,503.4,ok
2014-05-05,SKU-009,Sal_1kg,300.5,ok
2014-05-05,SKU-010,Cafe_Molido_250g,916.5,ok
2014-05-05,SKU-011,Jabon_Barra,529.9,ok
2014-05-05,SKU-012,Shampoo_400ml,419.1,ok
2014-05-05,SKU-013,Papel_Higienico_4x,1048.1,ok
2014-05-05,SKU-014,Detergente_1kg,779.7,ok
2014-05-05,SKU-015,Mayonesa_445g,343.7,ok
2014-05-05,SKU-016,Ketchup_397g,323.3,ok
2014-05-05,SKU-017,Galletas_200g,109.2,outlier_bajo
2014-05-05,SKU-018,Jugo_Naranja_1L,699.4,ok
2014-05-05,SKU-019,Agua_500ml_x24,1790.2,ok
2014-05-05,SKU-020,Cereal_Corn_500g,584.7,ok
2014-05-12,SKU-001,Arroz_500g,1060.2,ok
2014-05-12,SKU-002,Aceite_1L,463.9,ok
2014-05-12,SKU-003,Azucar_1kg,735.3,ok
2014-05-12,SKU-004,Leche_UHT_1L,5261.6,outlier_alto
2014-05-12,SKU-005,Harina_1kg,514.1,ok
2014-05-12,SKU-006,Pasta_Spaghetti,524.8,ok
2014-05-12,SKU-007,Atun_Lata_170g,481.8,ok
2014-05-12,SKU-008,Frijol_500g,-11.7,negativo
2014-05-12,SKU-009,Sal_1kg,342.6,ok
2014-05-12,SKU-010,Cafe_Molido_250g,812.5,ok
2014-05-12,SKU-011,Jabon_Barra,440.5,ok
2014-05-12,SKU-012,Shampoo_400ml,414.6,ok
2014-05-12,SKU-013,Papel_Higienico_4x,1094.4,ok
2014-05-12,SKU-014,Detergente_1kg,761.0,ok
2014-05-12,SKU-015,Mayonesa_445g,358.4,ok
2014-05-12,SKU-016,Ketchup_397g,257.0,ok
2014-05-12,SKU-017,Galletas_200g,885.2,ok
2014-05-12,SKU-018,Jugo_Naranja_1L,663.3,ok
2014-05-12,SKU-019,Agua_500ml_x24,1841.4,ok
2014-05-12,SKU-020,Cereal_Corn_500g,535.4,ok
2014-05-19,SKU-001,Arroz_500g,903.9,ok
2014-05-19,SKU-002,Aceite_1L,546.9,ok
2014-05-19,SKU-003,Azucar_1kg,738.0,ok
2014-05-19,SKU-004,Leche_UHT_1L,1273.7,ok
2014-05-19,SKU-005,Harina_1kg,523.0,ok
2014-05-19,SKU-006,Pasta_Spaghetti,425.9,ok
2014-05-19,SKU-007,Atun_Lata_170g,353.9,ok
2014-05-19,SKU-008,Frijol_500g,454.8,ok
2014-05-19,SKU-009,Sal_1kg,339.6,ok
2014-05-19,SKU-010,Cafe_Molido_250g,683.6,ok
2014-05-19,SKU-011,Jabon_Barra,446.6,ok
2014-05-19,SKU-012,Shampoo_400ml,409.1,ok
2014-05-19,SKU-013,Papel_Higienico_4x,1082.7,ok
2014-05-19,SKU-014,Detergente_1kg,1456.1,duplicado
2014-05-19,SKU-015,Mayonesa_445g,273.9,ok
2014-05-19,SKU-016,Ketchup_397g,262.0,ok
2014-05-19,SKU-017,Galletas_200g,793.6,ok
2014-05-19,SKU-018,Jugo_Naranja_1L,650.5,ok
2014-05-19,SKU-019,Agua_500ml_x24,1886.5,ok
2014-05-19,SKU-020,Cereal_Corn_500g,501.3,ok
2014-05-26,SKU-001,Arroz_500g,859.7,ok
2014-05-26,SKU-002,Aceite_1L,551.0,ok
2014-05-26,SKU-003,Azucar_1kg,902.7,ok
2014-05-26,SKU-004,Leche_UHT_1L,1270.5,ok
2014-05-26,SKU-005,Harina_1kg,538.1,ok
2014-05-26,SKU-006,Pasta_Spaghetti,516.9,ok
2014-05-26,SKU-007,Atun_Lata_170g,57.5,outlier_bajo
2014-05-26,SKU-008,Frijol_500g,541.5,ok
2014-05-26,SKU-009,Sal_1kg,304.1,ok
2014-05-26,SKU-010,Cafe_Molido_250g,774.7,ok
2014-05-26,SKU-011,Jabon_Barra,526.2,ok
2014-05-26,SKU-012,Shampoo_400ml,405.5,ok
2014-05-26,SKU-013,Papel_Higienico_4x,997.7,ok
2014-05-26,SKU-014,Detergente_1kg,,missing
2014-05-26,SKU-015,Mayonesa_445g,267.3,ok
2014-05-26,SKU-016,Ketchup_397g,264.4,ok
2014-05-26,SKU-017,Galletas_200g,736.8,ok
2014-05-26,SKU-018,Jugo_Naranja_1L,705.2,ok
2014-05-26,SKU-019,Agua_500ml_x24,1604.1,ok
2014-05-26,SKU-020,Cereal_Corn_500g,514.3,ok
2014-06-02,SKU-001,Arroz_500g,,missing
2014-06-02,SKU-002,Aceite_1L,562.0,ok
2014-06-02,SKU-003,Azucar_1kg,759.5,ok
2014-06-02,SKU-004,Leche_UHT_1L,1321.0,ok
2014-06-02,SKU-005,Harina_1kg,537.4,ok
2014-06-02,SKU-006,Pasta_Spaghetti,,missing
2014-06-02,SKU-007,Atun_Lata_170g,302.9,ok
2014-06-02,SKU-008,Frijol_500g,488.4,ok
2014-06-02,SKU-009,Sal_1kg,322.6,ok
2014-06-02,SKU-010,Cafe_Molido_250g,723.1,ok
2014-06-02,SKU-011,Jabon_Barra,498.4,ok
2014-06-02,SKU-012,Shampoo_400ml,416.7,ok
2014-06-02,SKU-013,Papel_Higienico_4x,1027.0,ok
2014-06-02,SKU-014,Detergente_1kg,708.8,ok
2014-06-02,SKU-015,Mayonesa_445g,332.6,ok
2014-06-02,SKU-016,Ketchup_397g,307.0,ok
2014-06-02,SKU-017,Galletas_200g,727.5,ok
2014-06-02,SKU-018,Jugo_Naranja_1L,,missing
2014-06-02,SKU-019,Agua_500ml_x24,1646.7,ok
2014-06-02,SKU-020,Cereal_Corn_500g,525.5,ok
2014-06-09,SKU-001,Arroz_500g,,missing
2014-06-09,SKU-002,Aceite_1L,1434.9,outlier_alto
2014-06-09,SKU-003,Azucar_1kg,814.9,ok
2014-06-09,SKU-004,Leche_UHT_1L,1249.0,ok
2014-06-09,SKU-005,Harina_1kg,567.7,ok
2014-06-09,SKU-006,Pasta_Spaghetti,473.2,ok
2014-06-09,SKU-007,Atun_Lata_170g,345.5,ok
2014-06-09,SKU-008,Frijol_500g,490.7,ok
2014-06-09,SKU-009,Sal_1kg,314.4,ok
2014-06-09,SKU-010,Cafe_Molido_250g,2628.4,outlier_alto
2014-06-09,SKU-011,Jabon_Barra,524.8,ok
2014-06-09,SKU-012,Shampoo_400ml,422.6,ok
2014-06-09,SKU-013,Papel_Higienico_4x,1027.4,ok
2014-06-09,SKU-014,Detergente_1kg,622.1,ok
2014-06-09,SKU-015,Mayonesa_445g,335.6,ok
2014-06-09,SKU-016,Ketchup_397g,264.9,ok
2014-06-09,SKU-017,Galletas_200g,610.4,ok
2014-06-09,SKU-018,Jugo_Naranja_1L,664.3,ok
2014-06-09,SKU-019,Agua_500ml_x24,1663.3,ok
2014-06-09,SKU-020,Cereal_Corn_500g,,missing
2014-06-16,SKU-001,Arroz_500g,930.0,ok
2014-06-16,SKU-002,Aceite_1L,529.6,ok
2014-06-16,SKU-003,Azucar_1kg,,missing_bloque
